Day,Plan for the day,Places visited,Places we ate in,What we enjoyed and recommend,What can be skipped,Others,What did we not do but you can consider,Stay,Entry Fees
"Day 1
Tuesday","Arrive in Tashkent at 9.30 am
After visa process and all, reach the hotel by 11 am
","1. Magic City
2. Walk / ride around the hotel area - Islam Karimov Street","1. Raaj Kumar Hotel - Indian food - Paneer Butter Masala and naan (quite average but happy to get indian food)
2. Bellissimo pizza at Magic Park (vegetarian pizza and fries - quite average but happy to find vegetarian food in Magic City)","Magic city has a fun vibe - basically an huge area with some stalls for fun like magic, shooting for a teddy time games, food stalls, etc. There is a fountain show here too. Overall a good place to just chill for a couple of hours",If short on time Magic city can be skipped,"Travelled by Yandex to all places - quite cheap and get a cab very quickly.
Got UCell sim card at 55000 Som (INR 363 for 44GB of data)",,"City Centre hotel - It is located in a central location and all places of interest are within 3-4 kms. The hotel is nice, clean and the room is of a decent size. We got a window-less room for one night at around INR 3600 on agoda.
City Center has a health faucet which is not common in uzbekistan",
"Day 2
Wednesday","Arrive in Samarkand by 10.30 am, reach hotel by 11 am and check-in

",We used the day to walk around the city and get first impressions of the major attractions we plan to visit over the next three days ,"1. Cafe Punjab - Indian food - Dum aloo and chapati (good food)
2. The Indian Kitchen (Paneer Butter Masala and Malabar Paratha - decent food)","1. We travelled to Samarkand from Tashkent via Afrosiyab which covered 300 kms in less than two and a half hours. Great train, amazing seats and overall a very comfortable journey with no complaints at all.
2. Samarkand is a very walkable city - we really enjoyed walking around the city from our hotel to Registan Square to Bibikanum mosque and siyob bazar during the day. Very chill vibe and since it is fall season it was beautiful to see all trees in shades of orange and yellow and red and all the fallen leaves ",,Travelled to the hotel from train station by Yandex and after that walked around everywhere,,"Hanifa Boutique - The location of the hotel is amazing as all major attractions like Registan square, Bibikanum mosque, etc are under a km away. Great hotel with nice and clean rooms. It has great wooden woodwork that gives it a very royal feel and the receptionist is really nice and super helpful.
Hanifa boutique does not have a health faucet",
"Day 3
Thursday",Explore Samarkand,"1. Bibi khanum Mosque
2. Gir-i-Timur
3. Night view of Registan Square","1. The Indian Kitchen (Dum aloo, Naan and Malabar Paratha - good food)
2. The Indian Kitchen (Masoor Dal soup and Egg dosa - decent food)","1. Our first visit for the day was Bibikhanum mosque which was a 800m walk from our hotel. The mosque is absolutely stunning and we spent around three hours exploring the place. There are three structures to the mosque - one main mosque and two mosques on either side of the main mosque. We also got a guide (highly recommended) who showed us around the place and told us about the history. Spent about 4 hours there. 
2. Gur-I-Timur is the final resting place of Timur and is so so beautiful. We spend around two and a half hours here roaming around by ourselves and later we got a guide here as well who told us stories about Timur and the architecture. Getting a guide again highly recommended as otherwise a lot of the understanding of the place is lost. Spent about 3 hours there.","Bibikhanum mausaleum which is right opposite Bibikhanum mosque can be skipped ad it is just a room which has the tomb of Bibikhanum (the entry fees of 35,000 per person for this place is quite expensive)",Mostly walked around and took Yandex for some journeys,,,"1. Bibikhanum mosque - 40,000 per person (the ticket is valid for two days)
2. Guide in Bibikhanum Mosque - 80,000
3. Bibikhanum Mausaleum - 35,000 per persom
4. Gur-i-Timur - 40,000 per person
5. Guide in Gu-i-Timur - 80,000"
"Day 4
Friday",Explore Samarkand,"1. Shah i Zinda
2. Afrosiab Settlement
3. Registan Square","1. The Indian Kitchen (Veg Biryani, Mysore Masala Dosa - decent food)
2. The indian Kitchen (Paneer Mutter Masala, Malabar Parotta - good food)","1. We visited Shahi Zinda. Entered at about 11 or so, but got to know at about 1130 that today being a Friday and a jummah day, it's closed from 12-3. Since it was going to close, we decided we didn't have enough time to explore fully and skipped it for the day. we decided we'll return the next day.  Spent only 30 min there since we were planning to return anyway. 
2. Afrosiab Settlement is a continously inhabited settlement from atleast 9th century BC. Genghis Khan burnt the place to the ground in 1220. There is a museum and the excavation site of the ancient settlement. The museum doesn't have too many good descriptions even though it has a number of great artifacts. This is the only place we didn't take a guide, and the site was difficult to figure out what stood where. Spent about 2 hours there.
3. Registan Square - Absolutely stunning, must vist for both a day and night view. We entered at 3 pm and were there until 830 pm. There is a light show at 8 pm which is very average - however the standard night view without the light show is better. We took a guide and it was extremely useful.  Highly recommend getting a guide. Spent 5.5 hours there.","Afrosiab settlement, in case you don't have enough time. ","If you're visiting on a Friday, ensure that the places you're visiting are open - it may be closed due to Friday prayers",,,"1. Shahi Zinda - 40000 per head. 
2. Afrosiab Settlement and Museum - 40000 per head.
3. Registan - 65000 per head. 
4. Registan guide - 300000 in total."
"Day 5
Saturday",Explore Samarkand,"1. Ulug Beg Observatory
2. Shah i Zinda
3. Registan Square","1. The Indian Kitchen (Rice, Dal Tadka, Lassi - decent food)
2. The indian Kitchen (Dum Aloo, Malabar Parotta - good food)","1. We visited Ulug Beg Observatory. It was an observatory built by Ulug Beg, grandson of Timur, in the 15th century. Most of the observatory is destroyed, but a museum has been created in it's place. There's a quarter of the observatory still preserved underground, which is fasincating. We took a guide - highly recommended. Spent about 2 hours there.
2. We visited Shahi Zinda next. Multiple tombs of Timuroid dynasty. The most important tomb however is that of Prophet Mohammed's cousin who brought Islam to Central Asia in 7th Century. The place is a must visit and shouldn't be skipped - it's so beautiful. It is difficult to find an English Speaking guide here. But if you find one, get one - they help. Entered at about 4 and left at 7. Spent about 3 hours.",,,,,"1. Shahi Zinda - 40000 per head. 
2. Ulug Beg Observatory - 40000 per head.
3. Ulug Beg guide - 80000"
"Day 6
Sunday",Explore Bukhara,"1. Ark of Bukhara
2. Lyabi Khause Square in the night","1. The terrace (Veg Pizza, Fries - average food, but they don't accept cards)
2. The terrace (Muchroom soup, Veg Shaklik, Veg Manti - average food, cards not accepted)","1. We travelled to Bukhara from Samarkand via Afrosiyab which covered 280 kms in less than two hours. Great train, amazing seats and overall a very comfortable journey with no complaints at all.
2. Old Bukhara is a very walkable city - we really enjoyed walking around the city from our hotel to the Poi Kalan ensemble to the Arc of Bukhara, and to Lyabi Square. There is a great vibe and you really feel like you're walking around in an ancient silk road city.
3. We visited the Ark of bukhara and spent about 3-3.5 hours there. It's a fortress from the 5th century, and also contained some museums inside, like the history of bukhara, nature of bukhara, etc etc. The museums aren't well described, and unfortunately we weren't able to figure out which parts of the fortress were 5th Century constructions and which were 18th. A guide was needed but the only English speaking guide was busy. Without a guide, the only thing worth visiting in the ark is the view of the entire old town you get from the top. ","Ark of Bukhara, if you don't have enough time.",,,"Hotel Marhaba Boutique - Good hotel, good location, about a 10 min walk from Lyabi Khauze square and a 10 min walk from Poi Kalan ensemble. The walk gets a bit secluded in the night though. The hotel don't accept card payments which is a pain because we need to withdraw 200+ USD from the ATM.",Ark of Bukhara - 70000
"Day 7
Monday",Explore Bukhara,"1. Chor Minar
2. Abdul Aziz Madrasa
3. Lyabi Khause Square (with Maghak i Attori Mosque and Nodin Devon Begi Madrassa)
4. Ulug Beg Madrasa
5. Kalon Minaret","1. Joy (Potato Samsa, Bichat with Spinach, Grilled Vegetables - good food, they accept cards)
2. old Bukhara (Lagman and fries - average food)
3. Coffee room (americano and cappucino)","1. Chor Minar was very chill and nice. It's not as big or intricate as the Hyderabad Charminar but has a lot of chill vibe surrounding it. There weren't too many tourists and we had a lot of time to sit around and stare at the minor. 
2. Abdul Aziz Madrasa is a nice madrasa that was incomplete on one side because the person building the madrasa went to Mecca and died onroute. there was a museum inside that can be skipped but you should visit the courtyard. 
3. LMaghak i Attori is the oldest religious site in Bukhara and is well preserved. There's a museum inside which we didn't enter.
4. Nodi Devon Begi Madrassa is beautiful from the outside but has a terrible museum inside. You can skip the museum.
5. Ulug Beg Madrasa is a wonderful madrasa bthat also has the calligraphy museum attached to it. It's a useless museum.
6. We went outside Kalon Minaret to soak in the vibe. ",All the museums in Bukhara are useless. They only have pots and pans and water pipes which arne't even labelled properly. They do not inspire awe unfortunately.,,,,"1. Abdul Aziz Madrasa - 20000 per head
2. Museum insdie Abdul Aziz Madrasa - 15000 per head
3. Ulug Beg Madrasa - 10000 per head
4. Nodi Devon Begi Madrassa Museum - 20000 per head"
"Day 8
Tuesday",Explore Bukhara,"1. The Poi Kalon complex (Mir Arab Madrassa, Poi Kalon Minaret, Poi Kalon Mosque)
2. Zindon
3. Ismail Sommani Mausoleum
4. Bolo Hauz Mosque","1. Joy (Samsa and Bichat with Spinach - good)
2. Chess Zone (mushroom burger and fries - very tasty)
3. Chalet (Salads and Fries - okay food, good music)","1. Got a guide in Poi Kalon Complex for 150000. He explained everything associated with the complex over a 1 hour timespan. The poi kalon complex is a must do and getting a guide is highly recommended. Do both day and night views of the minaret (minaret view is free)
2. We went to Zindon which is a prison from the late 1700s. This was relatively uneventful and can be skipped.
3. Ismail Somani Mausoleum - a building from 10th Century. This has very interesting history associated with it. it's a simple structure but is incredibly beautiful. There's a park nearb where you can chill as well. highly recommend. 
4. Bolo Hauz Mosque - interesting looking mosque. We didn't enter and just spent about 15 min on the outside looking at the mosque.",Zindon can be skipped if you don't have time,,,,"1. Poi Kalon Mosque - 20000 per head
2. Guide in poi Kalon - 150000 
3. Ismail Somani - 15000 per head
4. Zindon - 20000 per person"
"Day 9
Wednesday","Arrive in Khiva by 12 pm, reach hotel by 1230 pm and check-in. We used this day to walk around Khiva and explore one Mausoleum

",1. Pahlavan Makhmud Mausoleum,"1. Terressa (Veg Sandwitch and Tomato Soup - pricey but very good)
2. Terressa (Platter of bread with 5 dips - pricey and average)
3. MJ Cafe (Fries and Carrot Soup - Fries were excellent, soup bad)","1. Took a cab from the Khiva Train station to Hotel Nazira Boutique at 30000 UZS. 
2. Explored Pahlavan Makhmud Mausoleum - this is a mausoleum for a philosopher / painter / artist / pahlvan from the 10th century that got continously rebuilt. The outside is okay but the inside is stunning. It's beautiful. Highly recommend. 
3. Walked around the lanes of Khiva and got proper silk road market vibe feels. ",,,,"Hotel Nazira Boutique - Good hotel, great location since it's inside the walled city of Ichan Kala in Khiva. Everything is walkable and we won't need to take a cab on any day in Khiva as long as we're just exploring within Khiva city limits.",1. Palvahan Museum - 25000 per person
"Day 10
Thursday",Walk around Ichan Kala in Khiva,"Multiple important places within Ichan Kala (There are about 40 places included in the universal ticket, we visited about 10 in total)","1. Mirzo Boshi Cafe (Fries, Tomato Soup, Gumma - Fries excellent, soup bad, gumma good)
2. Terresa (Veg sandwidch and Tomato Soup - average, not as good as day 1)","1. We took a 2 hour guided tour around Ichan Kala. The guide was very good and took us around 5-6 important places including Juma mosque, secret palace, kings palace, madrassas, etc, all of which were good and fun
2. We walked around and entered some random museums and monuments on our own. 
3. We went to the city wall and walked on the wall during sunset to see the city view",City wall if you don't have time and especially if you plan to climb Islam Hoja minaret,,Nurallaboy Palace,,"1. Universal ticket covering about 40 monuments - 200000 per head
2. Guide - 300000 
3. City wall - 20000 per head"
