Day,Plan for the day,Places visited,Places we ate in,What we enjoyed and recommend,What can be skipped,Others,What did we not do but you can consider,Stay
"Day 1
Thursday","Arrive in Hanoi at 5 am
After visa process and all, reach the hotel by 7-8
","1. Vietnam Museum of Ethnology
2. Walk / ride around Hoan Keim lake, walk around Hanoi market","1. Had our first taste of Vietnamese coffee at Laika cafe and Oh! was it good
2. Ate veg Banh Mi at a local store which was excellent
3. Dinner at RK Spice Indian Restaurant which was quite average. Hanoi has plenty of other indian restaurants which serve delicious food",The first thing we did on our arrival in Hanoi was to rent a motorbike from our hotel itself. We just took the bike and roamed the streets of Hanoi aimlessly to get first impressions of the city. We chilled around Hoan Keim lake which had max chill vibes and we spent time walking around and playing in a garden nearby.,Vietnam Museum of Ethnology can be skipped,,"Tran Quoc Pagoda - we did not get a chance to visit this pagoda, however, have heard from multiple people that it is quite beautiful",Hanoi Emerald Waters Hotel & Spa - great hotel with spacious and clean rooms
"Day 2
Friday",Explore Ninh Binh,"1. Day trip to Trang An, Mua Caves (Ninh Binh)
2. The Huc Bridge, Turtle tower
3. Roam around in the night market (Friday to Sunday)","1. Lunch was local Vietnamese food in a local cafe our guide took us to
2. Best ever Kadhai Paneer and naan at Red Chilli Indian Restaurant","We got a local guide on this day who took us on a day trip to Trang An and Mua caves. The two hour boat ride in Ninh Binh was such a relaxing experience as we went through multpile caves. The hike to Mua caves was so much fun as we climbed multiple steps to reach the top for the view which was so worth it. As part of the tour, there were also rented cycles, and we cycled around the old, beautiful town. Once back to Hanoi, we went to the Hanoi night market (Friday to Sunday) where we enjoyed the chill vibe watching pleople dance, sing and play games. Recommend everything on we did on this day.",,We got a local guide to plan our day trip to Ninh Binh but this can also be done on your own. Some people also stay here for a day but we decided to do the day trip,,
"Day 3
Saturday",Explore Halong Bay,Start for Halong bay overnight cruise - spend day in cruise,,"We booked Era cruise for our Halong Bay cruise. We got a pick-up from the hotel and after a two hour volvo ride we were in Halong Bay. Once there, a speed boat took us to the cruise where we had lunch and then checked-in to our amazing room which had a huge balcony and a beautiful view of the bay. Later in the evening we went for Kayaking which was a blast. We the had dinner at the cruise and ended the day sitting on the balcony, listening to our favourite musing and soaking in the beauty of the bay.",This is a must do in Vietnam,,,Era cruise
"Day 4 
Sunday","Back to Hanoi from Ha Long Bay at 3.30 PM, explore Hanoi","1. The Note Coffee
2. Hanoi Train Street
3. Hanoi Lotte Tower observatory (tallest building in Hanoi)",Red Chilli Indian Restaurant ,We started our day with breakfast at the cruise and then took a boat ride to Light and Dark caves which was stunning. Once back on the cruise we got ready and proceeded to check-out. We got back in the volvo and headed back to Hanoi and checked into our AirBnB. In the evening we explored Hanoi Train Street which is a must-do in Hanoi. Do note the train timings and visit the street accordingly. We then went to Hanoi Lotte Tower which is the tallest building in Hanoi (50+ floors) and we enjoyed watching the sunset from here. ,"1. Can skip the Note coffee (it is a three floor cafe which has notes from people stuck all over). If that fascinates you, do visit
2. Hanoi Lotte tower can be skipped if watching the city from a high point is not something that fascinates you
",,,Airbnb - Nam's place - very small and inside. Not recommended
"Day 5
Monday",Flight from Hanoi to Da Nang,"1. Drive around Da Nang
2. Dragon Bridge
3. Visit the Da Nang Market ","1. Indian Curry Restaurant
2. Maharaja Indian Restaurant
3. Good Eats Hoi An","We rented a motorbike from Airbnb itself and explored all of Da Nang on the motorbike for the next four days. The area around Dragon Bridge is very chill and has a great vibe. We walked end to end on the bridge just soaking in the vibe. There were college kids chilling nearby, playimg games and having a laugh which was fun to watch. The dragon bridge breathes fire every Saturday and Sunday at 9 PM so if you are in Da Nang on those days, plan accordingly. We also explored the local market in Da Nang which was quite fun.",Da Nang Market has a lot of sea food / Non veg food just displayed so some people might not like it,,"1. Marble and Monkey Mountains
2. Coconut boat ride in Hoi An",Airbnb - Hana's place which is 1 Km from My Khe beach. We got a free upgrade on our room which had a fully functional kitchen as well as a washing machine
"Day 6
Tuesday",Explore Ba Na Hills,"1. Day trip to Ba Na Hills
2. Spend time at My Khe beach",,"We got a local guide to arrange our day trip to Ba Na hills. The views from the cable car ride to Ba Na hills are absolutely stunning and the hand bridge in the Ba Na hills is beautiful. We spent a few hours exploring Ba Na hills, playing games in the gaming zone and so on. We then headed back to Da Nang and went back to explore the area around Dragon Bridge once again as we enjoyed it so much on the previous day.",,,,
"Day 7
Wednesday",Explore Hoi An,1. Day trip to Hoi An,,"Today, we took our motorbike and rode 45 kms towards Hoi An. Once in Hoi An we had breakfast and delicious coffee at Good Eats Hoi An and bagan exploring. The entire day we walked around and enjoying the vibe and visiting one tourist attraction after another. We were fascinated by the house that has been flooded multiple times such that the water reaches the first floor. In the evening, we did the lantern boat ride wich was the highlight of the day. Seeing the streets come alive with beautifully lit lanterns really made our day.",,,,
"Day 8
Thursday",Explore Da Nang,"1. Visit Lady Buddha
2. Spend time at My Khe beach
3. Visit Sun World",,We visited Lady Buddha is a very tall statue in Da Nang and is a great area to visit as you can get a full view of the city from here. We then explored My Khe beach which is beautiful and very well maintained. We sat on the beach sipping delicious coffee watching time pass by. Later we headed to Sun World where we rode in the giant ferris wheel which gave us a good 360 degree view of the city. ,"Sun world has the tall Ferris wheel but nothing much apart from that. As we enjoy getting a view of the city from the highest point in a city we opted to go here but if that is something that does not fascinate you, you can skip",,,
"Day 9
Friday",Flight from Da Nang to Ho Chi Minh city,"1. Secret weapon cellar
2. Explore Ho Chi Minh Square",1. Namaste Indian Restaurant ,"The secret weapon cellar is a house in Ho Chi Minh City where the Vietnamese army used to store their weapons. It is a regular house which actually has a secret cellar which is completely invisible. It was super fun to search for the cellar, open the cellar, and then subsequently go down under the ground to see actual weapons being stolen. There also is a cafe attached to the house, and if you buy a coffee in that cafe, you can explore the entire house. The entire house has a lot of secret passageways and tunnels, and it's a lot of fun to explore. I was mind-blown. 
Ho Chi Minh Square is an absolute vibe - it's this vast, walkable area where people come and chill in the evenings. You should definitely visit it, especially post 7:30 in the evening because there will be a lot of street artists there, there will be a lot of random people selling you stuff. There are lots of cafes to eat around it. It's a genuinely interesting experience. ","Don't skip either, both were very fun ",,"The Mekong Delta Tour is a full-day tour away from Ho Chi Minh City. We didn't do it because it would consume an entire day, and we didn't think we had the time. 

",
"Day 10
Saturday",Explore Ho Chi Minh City,"1. Go for a trip to Cu Chi tunnels
2. Visit Landmark 81 (tallest building in Ho Chi Minh city)",,"Cu Chi Tunnels is a half-day trip away from Ho Chi Minh City. It is a network of underground tunnels which were used by the Vietnamese army to stave off the Americans. On the tour to Cu Chi Tunnels, the guide will basically walk you through the entire tunnel network. He'll help you discover a few of these invisible openings to tunnels in the middle of the forest. If you'd like, you can also enter some of these tunnels. There are tunnels of varying lengths (30m, 100m, and 200m). most people do 30-meter tunnels. The 100m and 200m tunnels do genuinely feel long. The tunnels are very, very small, and if you're claustrophobic, you should probably see a few videos of the tunnels before going in. 
Landmark 81 is the tallest building in Ho Chi Minh city and we went for the city view during sunset. The area around Landmark 81 in the bottom is fun, people just sit and chill on the floor. ","If you are not interested in stalled cityscapes in views from the top of a city, then you can skip landmark 81. ",,,
